Location,Year,Injuries
United_States,1982,3
United_States,1984,20
United_States,1986,6
United_States,1987,14
United_States,1988,4
United_States,1989,41
United_States,1990,4
United_States,1991,26
United_States,1992,10
United_States,1993,34
United_States,1994,23
United_States,1995,0
United_States,1996,1
United_States,1997,5
United_States,1998,36
United_States,1999,47
United_States,2000,0
United_States,2001,4
United_States,2003,8
United_States,2004,7
United_States,2005,9
United_States,2006,7
United_States,2007,32
United_States,2008,24
United_States,2009,39
United_States,2010,2
United_States,2011,21
United_States,2012,80
United_States,2013,13
United_States,2014,28
United_States,2015,43
United_States,2016,83
United_States,2017,587
United_States,2018,70
United_States,2019,112
United_States,2020,0
United_States,2021,16
United_States,2022,110
United_States,2023,17
