Location,Year,Total_Victims
United_States,1982,11
United_States,1984,48
United_States,1986,21
United_States,1987,20
United_States,1988,11
United_States,1989,56
United_States,1990,14
United_States,1991,61
United_States,1992,19
United_States,1993,57
United_States,1994,28
United_States,1995,6
United_States,1996,7
United_States,1997,14
United_States,1998,50
United_States,1999,89
United_States,2000,7
United_States,2001,9
United_States,2003,15
United_States,2004,12
United_States,2005,26
United_States,2006,28
United_States,2007,85
United_States,2008,41
United_States,2009,78
United_States,2010,11
United_States,2011,40
United_States,2012,151
United_States,2013,48
United_States,2014,46
United_States,2015,89
United_States,2016,154
United_States,2017,704
United_States,2018,150
United_States,2019,185
United_States,2020,9
United_States,2021,59
United_States,2022,184
United_States,2023,43
